requirement_id,requirement_summary,source_spec,acceptance_ids,task_ids,metric_ids,data_requirements,human_gate,paper_section,project_page_section,evidence_artifact,status,notes
INV-1,"Authority chain; only A0-A2 score-eligible; B/C contribute 0",master-2;02-2.2,AC-INV-1;AC-AUTH-2,FINK-S0-08;FINK-S2-04,EV-AUTH,DR-6,HR-01,03_method.md;08_responsible_ai.md,method,invariant_suite,MVP-traced,"PASS-gate 1"
INV-2,"Review priority, never a verdict",master-2;01-1.1,AC-INV-2;AC-UX-DISC,FINK-S4-03,—,—,—,08_responsible_ai.md,four-dimension-output,four_dimension_present_test,MVP-traced,"deny fraud/illegality/validity/loss"
INV-3,"Four independent dimensions, never collapsed",master-2;01-1.2,AC-INV-3;AC-FIN-SEP,FINK-S4-03;FINK-S3-03,—,—,—,03_method.md,four-dimension-output,four_dimension_present_test,MVP-traced,—
INV-4,"Korean canonical; English generated alias",master-2;02-7,AC-INV-4;AC-KOEN-1,FINK-S2-02,EV-KOEN,DR-8,HR-03,08_responsible_ai.md,method,koen_consistency_harness,MVP-traced,—
INV-5,"Local-first runtime; offline test passes",master-2;04-2,AC-INV-5;AC-RT-OFFLINE,FINK-S5-06,EV-OFFLINE,DR-12,—,08_responsible_ai.md,privacy,offline_integration_test,MVP-traced,—
INV-6,"No invented numbers",master-2;03-6,AC-INV-6;AC-FIN-BLANK,FINK-S3-04,EV-FINSCEN,DR-11,—,07_discussion_and_limitations.md,four-dimension-output,blank_without_inputs_test,MVP-traced,—
INV-7,"Uncertainty raises uncertainty, not the number",master-2;03-6,AC-INV-7;AC-CONF-1,FINK-S3-05,EV-UNIT,—,—,03_method.md,four-dimension-output,fim8_uncertainty_test,MVP-traced,—
INV-8,"Privacy and copyright boundary",master-2;02-6;04-3,AC-INV-8;AC-PV-1;AC-PV-2;AC-PV-3,FINK-S8-01;FINK-S8-02,EV-PRIV,DR-12,HR-04,08_responsible_ai.md,privacy,preflight_ok,MVP-traced,—
INV-9,"No unvalidated claim stated as established",master-2;03-9,AC-INV-9;AC-SC-CONFIG,FINK-S0-07;FINK-S7-02,EV-CALIB,—,HR-01,07_discussion_and_limitations.md,—,weights_flagged_heuristic,MVP-traced,"DFL-inspired only"
PR-001,"Camera/image/PDF/paste input",01-2.1,AC-IN-1,FINK-S1-01;FINK-S4-02,—,DR-7,—,04_data_and_implementation.md,demo,ingest_tests,MVP-traced,"PDF mandatory (HD-2)"
