result_id,experiment_id,metric,value,artifact_path,status,reviewer,notes
FINK-S5-02-EV-OCR-CER,ocr_extract_metric_run,EV-OCR-CER,0.052632,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-02-EV-OCR-WER,ocr_extract_metric_run,EV-OCR-WER,0.125000,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-02-EV-EXACT-MONEY,ocr_extract_metric_run,EV-EXACT-MONEY,1.000000,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-02-EV-EXACT-PCT,ocr_extract_metric_run,EV-EXACT-PCT,1.000000,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-02-EV-EXACT-DATE,ocr_extract_metric_run,EV-EXACT-DATE,1.000000,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-02-EV-EXACT-DUR,ocr_extract_metric_run,EV-EXACT-DUR,1.000000,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-02-EV-SEG,ocr_extract_metric_run,EV-SEG,1.000000,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-03-EV-R@3,retrieval_metric_run,EV-R@3,1.000000,scripts/eval/retrieval_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-03-EV-R@5,retrieval_metric_run,EV-R@5,1.000000,scripts/eval/retrieval_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-03-EV-AUTH,retrieval_metric_run,EV-AUTH,1.000000,scripts/eval/retrieval_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-03-EV-SPAN,retrieval_metric_run,EV-SPAN,0.850000,scripts/eval/retrieval_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-03-EV-KOEN,retrieval_metric_run,EV-KOEN,1.000000,scripts/eval/retrieval_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-04-rule_only-EV-F1,risk_metric_run:rule_only,EV-F1,0.833333,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-rule_only-EV-BENIGN-FPR,risk_metric_run:rule_only,EV-BENIGN-FPR,0.250000,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-rule_only-EV-SEV,risk_metric_run:rule_only,EV-SEV,0.870000,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-model_only-EV-F1,risk_metric_run:model_only,EV-F1,0.857143,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-model_only-EV-BENIGN-FPR,risk_metric_run:model_only,EV-BENIGN-FPR,0.500000,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-model_only-EV-SEV,risk_metric_run:model_only,EV-SEV,0.910000,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-hybrid-EV-F1,risk_metric_run:hybrid,EV-F1,0.923077,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-hybrid-EV-BENIGN-FPR,risk_metric_run:hybrid,EV-BENIGN-FPR,0.250000,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-hybrid-EV-SEV,risk_metric_run:hybrid,EV-SEV,0.988333,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
