claim_id,section,claim_text,evidence_file,evidence_key,status,reviewer,notes
CLM-S7-MAP-PROBLEM,01_problem_and_motivation.md,"Problem definition and motivation map to 01_problem_and_motivation.md.",docs/specs/07_PAPER_PROJECT_PAGE_AND_DELIVERABLE_SYNC.md,PA-MAP,supported,codex,"course-section mapping"
CLM-S7-MAP-METHOD,03_method.md,"Proposed method maps to 03_method.md with related-work support from 02_related_work.md.",docs/specs/07_PAPER_PROJECT_PAGE_AND_DELIVERABLE_SYNC.md,PA-MAP,supported,codex,"course-section mapping"
CLM-S7-MAP-DATA,04_data_and_implementation.md,"Data and implementation maps to 04_data_and_implementation.md.",docs/specs/07_PAPER_PROJECT_PAGE_AND_DELIVERABLE_SYNC.md,PA-MAP,supported,codex,"course-section mapping"
CLM-S7-MAP-RESULTS,05_experiments.md,"Results map to 06_results.md with experiment support from 05_experiments.md.",docs/specs/07_PAPER_PROJECT_PAGE_AND_DELIVERABLE_SYNC.md,PA-MAP,supported,codex,"course-section mapping"
CLM-S7-MAP-DISCUSSION,07_discussion_and_limitations.md,"Discussion maps to 07_discussion_and_limitations.md.",docs/specs/07_PAPER_PROJECT_PAGE_AND_DELIVERABLE_SYNC.md,PA-MAP,supported,codex,"course-section mapping"
CLM-S7-FRAME-REVIEW,03_method.md,"FInk is framed as Contractual Financial Review Priority, not a legal verdict.",docs/FINK_MASTER_SPEC.md,INV-2,supported,codex,"preserves review-priority-not-verdict framing"
CLM-S7-PRIVACY-BOUNDARY,04_data_and_implementation.md,"Paper-visible artifacts must exclude real contracts, private corpus text, raw filenames, token values, model weights, ZIPs, PDFs, and unsanitized data.",docs/FINK_MASTER_SPEC.md,INV-8,supported,codex,"privacy and copyright boundary"
CLM-S7-AUTHORITY-GATE,03_method.md,"A0-A2 official records can ground score-eligible signals; B/C practice references do not contribute scoring evidence.",docs/FINK_MASTER_SPEC.md,INV-1,supported,codex,"authority gating boundary"
CLM-S7-METHOD-DFL,03_method.md,"The paper uses DFL-inspired wording and does not claim end-to-end decision-focused training.",docs/FINK_MASTER_SPEC.md,INV-9,supported,codex,"no unvalidated training claim"
CLM-S7-RESULT-SCOPE,07_discussion_and_limitations.md,"Measured values are scoped to synthetic/sanitized local fixtures and are not generalized deployment-performance claims.",docs/specs/07_PAPER_PROJECT_PAGE_AND_DELIVERABLE_SYNC.md,PA-RESULT,supported,codex,"scope statement for result interpretation"
CLM-S7-EXP-ABLATION-ARMS,05_experiments.md,"The risk suite reports rule_only, model_only, and hybrid ablation arms without a generalized optimality claim.",RESULT_LEDGER.csv,FINK-S5-04-hybrid-EV-F1,measured,codex,"supported by risk_metric_suite_results.json claim_boundary"
CLM-S7-RES-EV-OCR-CER,06_results.md,"EV-OCR-CER measured 0.052632 on the synthetic/sanitized OCR fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-OCR-CER,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-OCR-WER,06_results.md,"EV-OCR-WER measured 0.125000 on the synthetic/sanitized OCR fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-OCR-WER,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-EXACT-MONEY,06_results.md,"EV-EXACT-MONEY measured 1.000000 on the synthetic/sanitized extraction fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-EXACT-MONEY,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-EXACT-PCT,06_results.md,"EV-EXACT-PCT measured 1.000000 on the synthetic/sanitized extraction fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-EXACT-PCT,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-EXACT-DATE,06_results.md,"EV-EXACT-DATE measured 1.000000 on the synthetic/sanitized extraction fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-EXACT-DATE,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-EXACT-DUR,06_results.md,"EV-EXACT-DUR measured 1.000000 on the synthetic/sanitized extraction fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-EXACT-DUR,measured,codex,"no generalized performance claim"
